# Orientation data file - Sat Oct 02 20:52:34 - min reliable 7
# ../mkd /home/dfisher/pisces2 /home/dfisher/pisces2/final_long_list
# 18 distances, 10 angles

ALA ALA

# a1 < 30, a2 < 30

7   0.029 	# ((501 / 1657404) / (115150 / 370101436))
8   0.792 	# ((280 / 1657404) / (138088 / 370101436))
9   0.464 	# ((464 / 1657404) / (164860 / 370101436))
10  0.019 	# ((920 / 1657404) / (209460 / 370101436))
11  0.121 	# ((1015 / 1657404) / (255908 / 370101436))
12  0.150 	# ((1082 / 1657404) / (280682 / 370101436))
13  0.193 	# ((1080 / 1657404) / (292434 / 370101436))
14  0.194 	# ((1139 / 1657404) / (308812 / 370101436))
15  0.052 	# ((1441 / 1657404) / (338880 / 370101436))
16 -0.021 	# ((1669 / 1657404) / (364816 / 370101436))
17 -0.025 	# ((1781 / 1657404) / (387910 / 370101436))
18  0.007 	# ((1837 / 1657404) / (413216 / 370101436))
19 -0.013 	# ((1999 / 1657404) / (440650 / 370101436))
20 -0.086 	# ((55421 / 1657404) / (11350584 / 370101436))

# a1 < 30, a2 90+

3   0.000 	# ((0 / 1657404) / (0 / 370101436)) ?
4   0.000 	# ((0 / 1657404) / (908 / 370101436)) ?
5   0.144 	# ((53 / 1657404) / (13662 / 370101436))
6  -0.541 	# ((398 / 1657404) / (51716 / 370101436))
7   0.049 	# ((310 / 1657404) / (72736 / 370101436))
8  -0.038 	# ((522 / 1657404) / (112222 / 370101436))
9  -0.502 	# ((1366 / 1657404) / (184690 / 370101436))
10 -0.476 	# ((2240 / 1657404) / (310700 / 370101436))
11 -0.271 	# ((2337 / 1657404) / (397924 / 370101436))
12 -0.200 	# ((2452 / 1657404) / (448284 / 370101436))
13 -0.199 	# ((2627 / 1657404) / (480792 / 370101436))
14 -0.276 	# ((3033 / 1657404) / (513834 / 370101436))
15 -0.221 	# ((3045 / 1657404) / (545184 / 370101436))
16 -0.210 	# ((3103 / 1657404) / (561812 / 370101436))
17 -0.240 	# ((3260 / 1657404) / (572478 / 370101436))
18 -0.290 	# ((3555 / 1657404) / (594052 / 370101436))
19 -0.302 	# ((3832 / 1657404) / (632936 / 370101436))
20 -0.282 	# ((102680 / 1657404) / (17287592 / 370101436))

# a1 30-90, a2 < 30

3   0.000 	# ((0 / 1657404) / (0 / 370101436)) ?
4   0.000 	# ((0 / 1657404) / (606 / 370101436)) ?
5   0.388 	# ((26 / 1657404) / (8562 / 370101436))
6   0.310 	# ((194 / 1657404) / (59046 / 370101436))
7   0.748 	# ((262 / 1657404) / (123588 / 370101436))
8   0.786 	# ((295 / 1657404) / (144506 / 370101436))
9   0.440 	# ((484 / 1657404) / (167740 / 370101436))
10  0.419 	# ((640 / 1657404) / (217268 / 370101436))
11  0.390 	# ((839 / 1657404) / (276596 / 370101436))
12  0.569 	# ((767 / 1657404) / (302620 / 370101436))
13  0.511 	# ((841 / 1657404) / (312974 / 370101436))
14  0.377 	# ((1008 / 1657404) / (328088 / 370101436))
15  0.348 	# ((1133 / 1657404) / (358474 / 370101436))
16  0.379 	# ((1192 / 1657404) / (389004 / 370101436))
17  0.330 	# ((1330 / 1657404) / (412930 / 370101436))
18  0.305 	# ((1461 / 1657404) / (442724 / 370101436))
19  0.380 	# ((1446 / 1657404) / (472112 / 370101436))
20  0.236 	# ((43740 / 1657404) / (12362602 / 370101436))

# a1 > 90, a2 < 30

3   0.000 	# ((0 / 1657404) / (0 / 370101436)) ?
4   0.000 	# ((0 / 1657404) / (642 / 370101436)) ?
5   1.015 	# ((14 / 1657404) / (8624 / 370101436))
6   0.952 	# ((82 / 1657404) / (47452 / 370101436))
7   0.639 	# ((185 / 1657404) / (78254 / 370101436))
8   0.153 	# ((423 / 1657404) / (110046 / 370101436))
9   0.313 	# ((602 / 1657404) / (183774 / 370101436))
10  0.498 	# ((944 / 1657404) / (346828 / 370101436))
11  0.493 	# ((1337 / 1657404) / (488840 / 370101436))
12  0.466 	# ((1574 / 1657404) / (560290 / 370101436))
13  0.399 	# ((1803 / 1657404) / (600328 / 370101436))
14  0.408 	# ((1874 / 1657404) / (629588 / 370101436))
15  0.421 	# ((1923 / 1657404) / (653982 / 370101436))
16  0.417 	# ((1974 / 1657404) / (668756 / 370101436))
17  0.469 	# ((1900 / 1657404) / (678300 / 370101436))
18  0.425 	# ((2057 / 1657404) / (702618 / 370101436))
19  0.458 	# ((2120 / 1657404) / (748262 / 370101436))
20  0.386 	# ((65056 / 1657404) / (21363436 / 370101436))

# a1 > 90, a2 > 90

3   0.000 	# ((0 / 1657404) / (3496 / 370101436)) ?
4  -0.010 	# ((9172 / 1657404) / (2027074 / 370101436))
5   0.654 	# ((317 / 1657404) / (136168 / 370101436))
6  -0.304 	# ((6822 / 1657404) / (1123876 / 370101436))
7   0.296 	# ((2042 / 1657404) / (613256 / 370101436))
8   0.034 	# ((1966 / 1657404) / (454388 / 370101436))
9   0.060 	# ((4108 / 1657404) / (973564 / 370101436))
10  0.094 	# ((4575 / 1657404) / (1121962 / 370101436))
11  0.089 	# ((5068 / 1657404) / (1237222 / 370101436))
12 -0.007 	# ((6378 / 1657404) / (1414642 / 370101436))
13 -0.037 	# ((8447 / 1657404) / (1818220 / 370101436))
14 -0.061 	# ((10666 / 1657404) / (2240672 / 370101436))
15 -0.064 	# ((11709 / 1657404) / (2453592 / 370101436))
16 -0.054 	# ((11797 / 1657404) / (2496218 / 370101436))
17 -0.062 	# ((12585 / 1657404) / (2640200 / 370101436))
18 -0.071 	# ((12923 / 1657404) / (2688652 / 370101436))
19 -0.025 	# ((12897 / 1657404) / (2809344 / 370101436))
20 -0.041 	# ((377030 / 1657404) / (80769768 / 370101436))

# a1 > 90, a2 30-90

3   0.000 	# ((0 / 1657404) / (146 / 370101436)) ?
4   0.000 	# ((6 / 1657404) / (6932 / 370101436)) ?
5   0.119 	# ((554 / 1657404) / (139316 / 370101436))
6  -0.205 	# ((3473 / 1657404) / (631610 / 370101436))
7  -0.139 	# ((3141 / 1657404) / (610420 / 370101436))
8   0.202 	# ((1115 / 1657404) / (304662 / 370101436))
9  -0.053 	# ((3264 / 1657404) / (691082 / 370101436))
10  0.107 	# ((4131 / 1657404) / (1026204 / 370101436))
11  0.069 	# ((5539 / 1657404) / (1325786 / 370101436))
12  0.194 	# ((4187 / 1657404) / (1135604 / 370101436))
13  0.096 	# ((5469 / 1657404) / (1344584 / 370101436))
14  0.168 	# ((5588 / 1657404) / (1476732 / 370101436))
15  0.103 	# ((6809 / 1657404) / (1685858 / 370101436))
16  0.141 	# ((6641 / 1657404) / (1707046 / 370101436))
17  0.177 	# ((6660 / 1657404) / (1774316 / 370101436))
18  0.185 	# ((6598 / 1657404) / (1772366 / 370101436))
19  0.162 	# ((7322 / 1657404) / (1922464 / 370101436))
20  0.143 	# ((205886 / 1657404) / (53044862 / 370101436))

# a1 30-90, a2 > 90

3   0.000 	# ((0 / 1657404) / (576 / 370101436)) ?
4   1.439 	# ((8 / 1657404) / (7530 / 370101436))
5  -0.239 	# ((1008 / 1657404) / (177296 / 370101436))
6  -0.116 	# ((3320 / 1657404) / (660338 / 370101436))
7  -0.050 	# ((2946 / 1657404) / (626024 / 370101436))
8  -0.139 	# ((1518 / 1657404) / (294918 / 370101436))
9  -0.351 	# ((4578 / 1657404) / (719648 / 370101436))
10 -0.235 	# ((5551 / 1657404) / (979496 / 370101436))
11 -0.124 	# ((6333 / 1657404) / (1249456 / 370101436))
12 -0.081 	# ((4969 / 1657404) / (1023098 / 370101436))
13 -0.144 	# ((6336 / 1657404) / (1224868 / 370101436))
14 -0.156 	# ((6931 / 1657404) / (1323790 / 370101436))
15 -0.157 	# ((8196 / 1657404) / (1564852 / 370101436))
16 -0.140 	# ((8034 / 1657404) / (1559744 / 370101436))
17 -0.160 	# ((8450 / 1657404) / (1607464 / 370101436))
18 -0.188 	# ((8634 / 1657404) / (1597886 / 370101436))
19 -0.187 	# ((9425 / 1657404) / (1744880 / 370101436))
20 -0.186 	# ((252545 / 1657404) / (46840922 / 370101436))

# a1 30-90, a2 30-90, torsion < 90

3   0.000 	# ((0 / 1657404) / (18 / 370101436)) ?
4   0.000 	# ((2 / 1657404) / (1260 / 370101436)) ?
5  -0.115 	# ((199 / 1657404) / (39616 / 370101436))
6   0.405 	# ((830 / 1657404) / (277776 / 370101436))
7   0.571 	# ((624 / 1657404) / (246584 / 370101436))
8   0.777 	# ((441 / 1657404) / (214222 / 370101436))
9   0.250 	# ((725 / 1657404) / (207826 / 370101436))
10  0.223 	# ((987 / 1657404) / (275398 / 370101436))
11  0.319 	# ((1188 / 1657404) / (364988 / 370101436))
12  0.260 	# ((1212 / 1657404) / (351062 / 370101436))
13  0.308 	# ((1258 / 1657404) / (382062 / 370101436))
14  0.243 	# ((1479 / 1657404) / (421018 / 370101436))
15  0.161 	# ((1848 / 1657404) / (484876 / 370101436))
