# Orientation data file - Thu Sep 30 10:24:39 - min reliable 7
# ../mkd /home/dfisher/pisces2 /home/dfisher/pisces2/final_short_list
# 18 distances, 10 angles

ALA ALA

# a1 < 30, a2 < 30

10 -0.165 	# ((272 / 156616) / (32702 / 22209512))
11  0.053 	# ((302 / 156616) / (45158 / 22209512))
12 -0.097 	# ((354 / 156616) / (45540 / 22209512))
13  0.030 	# ((318 / 156616) / (46470 / 22209512))
14  0.095 	# ((292 / 156616) / (45542 / 22209512))
15 -0.033 	# ((354 / 156616) / (48568 / 22209512))
16 -0.169 	# ((420 / 156616) / (50274 / 22209512))
17 -0.012 	# ((368 / 156616) / (51552 / 22209512))
18  0.000 	# ((354 / 156616) / (50204 / 22209512))
19 -0.032 	# ((376 / 156616) / (51656 / 22209512))
20  0.015 	# ((3284 / 156616) / (472580 / 22209512))

ALA ARG

# a1 < 30, a2 < 30

3   0.000 	# ((0 / 95864) / (0 / 22209512)) ?
4   0.000 	# ((0 / 95864) / (14 / 22209512)) ?
5   0.000 	# ((0 / 95864) / (116 / 22209512)) ?
6   0.000 	# ((5 / 95864) / (1526 / 22209512)) ?
7  -0.088 	# ((32 / 95864) / (6786 / 22209512))
8   1.073 	# ((18 / 95864) / (12200 / 22209512))
9   0.868 	# ((31 / 95864) / (17106 / 22209512))
10  0.564 	# ((47 / 95864) / (19148 / 22209512))
11  0.798 	# ((38 / 95864) / (19550 / 22209512))
12  0.445 	# ((50 / 95864) / (18068 / 22209512))
13  0.817 	# ((31 / 95864) / (16262 / 22209512))
14  0.779 	# ((30 / 95864) / (15142 / 22209512))
15  0.633 	# ((33 / 95864) / (14402 / 22209512))
16  0.505 	# ((38 / 95864) / (14584 / 22209512))
17  0.374 	# ((43 / 95864) / (14478 / 22209512))
18  0.686 	# ((31 / 95864) / (14256 / 22209512))
19  0.406 	# ((41 / 95864) / (14260 / 22209512))
20  0.137 	# ((398 / 95864) / (105736 / 22209512))

# a1 < 30, a2 30-90

3   0.000 	# ((0 / 95864) / (0 / 22209512)) ?
4   0.000 	# ((0 / 95864) / (40 / 22209512)) ?
5   0.000 	# ((5 / 95864) / (1128 / 22209512)) ?
6  -0.526 	# ((60 / 95864) / (8214 / 22209512))
7   0.058 	# ((66 / 95864) / (16200 / 22209512))
8   0.805 	# ((34 / 95864) / (17624 / 22209512))
9   0.304 	# ((66 / 95864) / (20722 / 22209512))
10 -0.005 	# ((115 / 95864) / (26512 / 22209512))
11  0.108 	# ((123 / 95864) / (31760 / 22209512))
12  0.132 	# ((133 / 95864) / (35150 / 22209512))
13  0.123 	# ((131 / 95864) / (34318 / 22209512))
14  0.029 	# ((145 / 95864) / (34598 / 22209512))
15 -0.013 	# ((158 / 95864) / (36150 / 22209512))
16 -0.137 	# ((178 / 95864) / (35942 / 22209512))
17 -0.177 	# ((182 / 95864) / (35322 / 22209512))
18 -0.108 	# ((168 / 95864) / (34942 / 22209512))
19 -0.000 	# ((152 / 95864) / (35204 / 22209512))
20 -0.169 	# ((1492 / 95864) / (291774 / 22209512))

# a1 < 30, a2 90+

3   0.000 	# ((0 / 95864) / (0 / 22209512)) ?
4   0.000 	# ((0 / 95864) / (104 / 22209512)) ?
